,Accuracy Score,Confusion Matrix,Training Time,Predict Time,Processing
0,0.95625,"[[459   0]
 [ 21   0]]",0.8614861965179443,0.04140305519104004,Label Encoded
1,0.95625,"[[459   0]
 [ 21   0]]",0.9493618011474609,0.042301177978515625,One Hot Encoded
2,0.95625,"[[459   0]
 [ 21   0]]",0.850182056427002,0.04003286361694336,Standard Scaled
3,0.95625,"[[459   0]
 [ 21   0]]",0.8455431461334229,0.03882598876953125,Feature Selection
4,0.95625,"[[459   0]
 [ 21   0]]",0.8698208332061768,0.04049324989318848,PCA
